elementName,category,source,elementMappingName,sourceSystem,sourceTable,sourceAttribute,sourceDerivation,Note,elementDefinition
Type of Transaction Code,award,award,TypeOfContractPricing,,,,,,http://fedspendingtransparency.github.io/whitepapers/type-transaction-code/
Type of Transaction Code,award,award,idvType,,,,,,http://fedspendingtransparency.github.io/whitepapers/type-transaction-code/
Type of Transaction Code,award,award,ContractAwardType,,,,,,http://fedspendingtransparency.github.io/whitepapers/type-transaction-code/
Type of Transaction Code,award,award,AssistanceType,,,,,,http://fedspendingtransparency.github.io/whitepapers/type-transaction-code/
Type of Transaction Code,award,award,FederalPrimeAward,,,,,,http://fedspendingtransparency.github.io/whitepapers/type-transaction-code/
Non-Federal Funding Amount,award,award,NonFederalFundingAmount,,,,,,http://fedspendingtransparency.github.io/whitepapers/amount/
Current Total Funding Obligation Amount on Award,award,award,CurrentTotalFundingObligationAmount,,,,,,http://fedspendingtransparency.github.io/whitepapers/amount/
Current Total Value of Award,award,award,CurrentTotalValueAwardAmount,,,,,,http://fedspendingtransparency.github.io/whitepapers/amount/
Current Total Value of Award,award,award,FaceValueLoanGuarantee,,,,,,http://fedspendingtransparency.github.io/whitepapers/amount/
Potential Total Value of Award,award,award,PotentialTotalValueAwardAmount,,,,,,http://fedspendingtransparency.github.io/whitepapers/amount/
Awarding Agency Name,awarding entity,award,AwardingAgencyName,,,,,Treasury dervices from AwardingAgencyCode,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Awarding Agency Code,awarding entity,award,AwardingAgencyCode,,,,,awarding agency code = agency code from TAFS,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Awarding Sub Tier  Agency Name,awarding entity,award,AwardingSubTierAgencyName,,,,,Treasury dervices from FundingOfficeName,http://fedspendingtransparency.github.io/whitepapers/awarding-sub-tier-agency/
Awarding Sub Tier  Agency Code,awarding entity,award,AwardingSubTierAgencyCode,,,,,,http://fedspendingtransparency.github.io/whitepapers/awarding-sub-tier-agency/
Awarding Office Name,awarding entity,award,AwardingOfficeName,,,,,Treasury derives from 49,http://fedspendingtransparency.github.io/whitepapers/awarding-sub-tier-agency/
Awarding Office Code,awarding entity,award,AwardingOfficeCode,,,,,,http://fedspendingtransparency.github.io/whitepapers/awarding-sub-tier-agency/
Funding Agency Name,funding entity,award,FundingAgencyName,,,,,,http://fedspendingtransparency.github.io/whitepapers/fundingagency/
Funding Agency Code,funding entity,award,FundingAgencyCode,,,,,,http://fedspendingtransparency.github.io/whitepapers/funding-sub-tier-agency/
Funding Sub Tier Agency Name,funding entity,award,FundingSubTierAgencyName,,,,,,http://fedspendingtransparency.github.io/whitepapers/funding-sub-tier-agency/
Funding Sub Tier Agency Code,funding entity,award,FundingSubTierAgencyCode,,,,,,http://fedspendingtransparency.github.io/whitepapers/funding-sub-tier-agency/
Funding Office Name,funding entity,award,FundingOfficeName,,,,,,http://fedspendingtransparency.github.io/whitepapers/funding-sub-tier-agency/
Funding Office Code,funding entity,award,FundingOfficeCode,,,,,,http://fedspendingtransparency.github.io/whitepapers/funding-sub-tier-agency/
Awardee/Recipient Legal Business Name,recipient,award,RecipientLegalEntityName,,,,,,http://fedspendingtransparency.github.io/whitepapers/unique-id-business-name/
Awardee/Recipient Entity ID,recipient,award,RecipientDunsNumber,,,,,,http://fedspendingtransparency.github.io/whitepapers/unique-id-business-name/
Global Awardee/Recipient Parent DUNS Number,recipient,award,RecipientUltimateParentUniqueId,,,,,DUNS,http://fedspendingtransparency.github.io/whitepapers/unique-id-business-name/
Global Awardee/Recipient Parent Legal Business Name,recipient,award,RecipientUltimateParentLegalEntityName,,,,,,http://fedspendingtransparency.github.io/whitepapers/unique-id-business-name/
Awardee/Recipient Legal Business Street Address Line 1,recipient,award,RecipientLegalEntityAddressStreet1,,,,,,http://fedspendingtransparency.github.io/whitepapers/unique-id-business-name/
Awardee/Recipient Legal Business Street Address Line 2,recipient,award,RecipientLegalEntityAddressStreet2,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Awardee/Recipient Legal Business City,recipient,award,RecipientLegalEntityCityName,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Awardee/Recipient State,recipient,award,RecipientLegalEntityStateCode,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Awardee/Recipient Legal Business  US Zip Code +4,recipient,award,RecipientLegalEntityZip,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Awardee/Recipient Legal Business  US Zip Code +4,recipient,award,RecipientLegalEntityZip+4,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Awardee/Recipient Postal Code,recipient,award,RecipientLegalEntityPostalCode,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Awardee/Recipient Legal Business Congressional District,recipient,award,RecipientLegalEntityCongressionalDistrict,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Awardee/Recipient Legal Business Country Code,recipient,award,RecipientLegalEntityCountryCode,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Awardee/Recipient Legal Business Country Name,recipient,award,RecipientLegalEntityCountryName,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Highly Compensated Officer #1 First Name,recipient,award,HighCompOfficer1FirstName,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
,recipient,award,HighCompOfficer1MiddleInitial,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Highly Compensated Officer #1 Last Name,recipient,award,HighCompOfficer1LastName,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Highly Compensated Officer #2 First Name,recipient,award,HighCompOfficer2FirstName,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
,recipient,award,HighCompOfficer2MiddleInitial,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Highly Compensated Officer #2 Last Name,recipient,award,HighCompOfficer2LastName,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Highly Compensated Officer #3 First Name,recipient,award,HighCompOfficer3FirstName,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
,recipient,award,HighCompOfficer3MiddleInitial,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Highly Compensated Officer #3 Last Name,recipient,award,HighCompOfficer3LastName,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Highly Compensated Officer #4 First Name,recipient,award,HighCompOfficer4FirstName,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
,recipient,award,HighCompOfficer4MiddleInitial,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Highly Compensated Officer #4 Last Name,recipient,award,HighCompOfficer4LastName,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Highly Compensated Officer #5 First Name,recipient,award,HighCompOfficer5FirstName,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
,recipient,award,HighCompOfficer5MiddleInitial,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Highly Compensated Officer #5 Last Name,recipient,award,HighCompOfficer5LastName,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Highly Compensated Officer #1 Total Compensation,recipient,award,HighCompOfficer1Amount,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Highly Compensated Officer #2 Total Compensation,recipient,award,HighCompOfficer2Amount,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Highly Compensated Officer #3 Total Compensation,recipient,award,HighCompOfficer3Amount,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Highly Compensated Officer #4 Total Compensation,recipient,award,HighCompOfficer4Amount,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Highly Compensated Officer #5 Total Compensation,recipient,award,HighCompOfficer5Amount,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Recipient Type,recipient,award,BusinessType,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
NAICS Code,award,award,NAICS_Code,,,,,"AKA ""recipient type""",http://fedspendingtransparency.github.io/whitepapers/business-type/
NAICS Description,award,award,NAICS_Description,,,,,Treasury derivces from NAICS code,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
CFDA Program Number,award,award,CFDA_Code,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
CFDA Program Title,award,award,CFDA_Description,,,,,Treasury dervices from CFDA code,http://fedspendingtransparency.github.io/whitepapers/cfdaprogramnumber-title/
Period of Performance Start Date,award,award,PeriodOfPerfStartDay,,,,,,http://fedspendingtransparency.github.io/whitepapers/cfdaprogramnumber-title/
Period of Performance Start Date,award,award,PeriodOfPerfStartMonth,,,,,,http://fedspendingtransparency.github.io/whitepapers/period-of-performance/
Period of Performance Start Date,award,award,PeriodOfPerfStartYear,,,,,,http://fedspendingtransparency.github.io/whitepapers/period-of-performance/
Period of Performance Current End Date,award,award,PeriodOfPerfCurrentEndDay,,,,,,http://fedspendingtransparency.github.io/whitepapers/period-of-performance/
Period of Performance Current End Date,award,award,PerioOfPerfCurrentEndMonth,,,,,,http://fedspendingtransparency.github.io/whitepapers/period-of-performance/
Period of Performance Current End Date,award,award,PeriodOfPerfCurrentEndYear,,,,,,http://fedspendingtransparency.github.io/whitepapers/period-of-performance/
Period of Performance Potential End Date,award,award,PeriodOfPerfPotentialEndDay,,,,,,http://fedspendingtransparency.github.io/whitepapers/period-of-performance/
Period of Performance Potential End Date,award,award,PeriodOfPerfPotentialEndMonth,,,,,,http://fedspendingtransparency.github.io/whitepapers/period-of-performance/
Period of Performance Potential End Date,award,award,PeriodOfPerfPotentialEndYear,,,,,,http://fedspendingtransparency.github.io/whitepapers/period-of-performance/
Ordering Period End Date,award,award,OrderingPeriodEndDay,,,,,,http://fedspendingtransparency.github.io/whitepapers/period-of-performance/
Ordering Period End Date,award,award,OrderingPeriodEndMonth,,,,,,http://fedspendingtransparency.github.io/whitepapers/period-of-performance/
Ordering Period End Date,award,award,OrderingPeriodEndYear,,,,,,http://fedspendingtransparency.github.io/whitepapers/period-of-performance/
Primary Place of Performance City,award,award,PlaceOfPerfCity,,,,,,http://fedspendingtransparency.github.io/whitepapers/place-of-performance/
Primary Place of Performance State,award,award,PlaceOfPerfState,,,,,,http://fedspendingtransparency.github.io/whitepapers/place-of-performance/
Primary Place of Performance County Name,award,award,PlaceOfPerfCounty,,,,,,http://fedspendingtransparency.github.io/whitepapers/place-of-performance/
Primary Place of Performance Zip Code +4,award,award,PlaceOfPerfZip+4,,,,,,http://fedspendingtransparency.github.io/whitepapers/place-of-performance/
Primary Place of Performance Congressional District,award,award,PlaceOfPerfCongressionalDistrict,,,,,,http://fedspendingtransparency.github.io/whitepapers/place-of-performance/
Primary Place of Performance Country Name,award,award,PlaceOfPerfCountryName,,,,,,http://fedspendingtransparency.github.io/whitepapers/place-of-performance/
