elementName,category,source,elementMappingName,sourceSystem,sourceTable,sourceAttribute,sourceDerivation,Note,elementDefinition
Highly Compensated Officer #5 First Name,recipient,sam,recipientHighCompOfficer5Name,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Hightly Compensated Officer #5 Total Compensation,recipient,sam,recipientHighCompOfficer5Amount,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Business Type,award,award,awardBusinessType,,,,,"AKA ""recipient type""",http://fedspendingtransparency.github.io/whitepapers/business-type/
North American Industry Classification System (NAICS) Code,award,award,awardNaicsCode,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
North American Industry Classification System (NAICS) Description,award,award,awardNaicsDesc,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Catalog of Federal Domestic Assistance (CFDA) Number,award,award,awardCfdaCode,,,,,,http://fedspendingtransparency.github.io/whitepapers/cfdaprogramnumber-title/
Catalog of Federal Domestic Assistance (CFDA) Title,award,award,awardCfdaDesc,,,,,,http://fedspendingtransparency.github.io/whitepapers/cfdaprogramnumber-title/
Period of Performance Start Date,award,award,awardPeriodPerfStartDate,,,,,,http://fedspendingtransparency.github.io/whitepapers/period-of-performance/
Period of Performance Current End Date,award,award,awardPeriodPerfCurrentEndDate,,,,,,http://fedspendingtransparency.github.io/whitepapers/period-of-performance/
Period of Performance Potential End Date,award,award,awardPeriodPerfPotentialEndDate,,,,,,http://fedspendingtransparency.github.io/whitepapers/period-of-performance/
Ordering Period End Date,award,award,awardOrderingPeriodEndDate,,,,,,http://fedspendingtransparency.github.io/whitepapers/period-of-performance/
Primary Place of Performance City,award,award,awardPopCityName,,,,,,http://fedspendingtransparency.github.io/whitepapers/place-of-performance/
Primary Place of Performance State,award,award,awardPopStateName,,,,,,http://fedspendingtransparency.github.io/whitepapers/place-of-performance/
Primary Place of Performance Zip Code + 4,award,award,awardPopZipPlusFour,,,,,,http://fedspendingtransparency.github.io/whitepapers/place-of-performance/
Primary Place of Performance Congressional District,award,award,awardPopCongressionalDistrict,,,,,,http://fedspendingtransparency.github.io/whitepapers/place-of-performance/
Primary Place of Performance Country Code,award,award,awardPopCountryCode,,,,,,http://fedspendingtransparency.github.io/whitepapers/place-of-performance/
Primary Place of Performance Country Name,award,award,awardPopCountryName,,,,,,http://fedspendingtransparency.github.io/whitepapers/place-of-performance/
