elementName,category,source,elementMappingName,sourceSystem,sourceTable,sourceAttribute,sourceDerivation,Note,elementDefinition
Funding Sub Tier Agency Name,funding entity,award,fundingSubTierAgencyName,,,,,,http://fedspendingtransparency.github.io/whitepapers/funding-sub-tier-agency/
Funding Sub Tier Agency Code,funding entity,award,fundingSubTierAgencyCode,,,,,,http://fedspendingtransparency.github.io/whitepapers/funding-sub-tier-agency/
Funding Office Name,funding entity,award,fundingOfficeName,,,,,,http://fedspendingtransparency.github.io/whitepapers/funding-sub-tier-agency/
Funding Office Code,funding entity,award,fundingOfficeCode,,,,,,http://fedspendingtransparency.github.io/whitepapers/funding-sub-tier-agency/
Awardee/Recipient Legal Business Name,recipient,award,recipientLegalEntityName,,,,,,http://fedspendingtransparency.github.io/whitepapers/unique-id-business-name/
Awardee/Recipient Legal Business DUNS Number,recipient,award,recipientDunsNumber,,,,,,http://fedspendingtransparency.github.io/whitepapers/unique-id-business-name/
Awardee/Recipient Entity ID,recipient,award,recipientUniqueId,,,,,DUNS,http://fedspendingtransparency.github.io/whitepapers/unique-id-business-name/
Awardee/Recipient Parent DUNS Number,recipient,award,recipientUltimateParentUniqueId,,,,,,http://fedspendingtransparency.github.io/whitepapers/unique-id-business-name/
Ultimate Parent Legal Business Name,recipient,award,recipeintUltimateParentLegalEntityName,,,,,,http://fedspendingtransparency.github.io/whitepapers/unique-id-business-name/
Awardee/Recipient Legal Business Street Address Line 1,recipient,award,recipientLegalEntityAddressStreet1,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Awardee/Recipient Legal Business Street Address Line 2,recipient,award,recipientLegalEntityAddressStreet2,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Awardee/Recipient Legal Business City,recipient,award,recipientLegalEntitylCityName,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Awardee/Recipient State,recipient,award,recipientLegalEntityStateCode,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Awardee/Recipient Postal Code,recipient,award,recipientLegalEntityPostalCode,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Awardee/Recipient Legal Business Congressional District,recipient,award,recipientLegalEntityCongresionalDistrict,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Awardee/Recipient Legal Business Country Code,recipient,award,recipientLegalEntityCountryCode,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Awardee/Recipient Legal Business Country Name,recipient,award,recipientLegalEntityCountryName,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Highly Compensated Officer #1 First Name,recipient,award,recipientHighCompOfficer1Name,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Hightly Compensated Officer #1 Total Compensation,recipient,award,recipientHighCompOfficer1Amount,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Highly Compensated Officer #2 First Name,recipient,award,recipientHighCompOfficer2Name,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Hightly Compensated Officer #2 Total Compensation,recipient,award,recipientHighCompOfficer2Amount,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Highly Compensated Officer #3 First Name,recipient,award,recipientHighCompOfficer3Name,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Hightly Compensated Officer #3 Total Compensation,recipient,award,recipientHighCompOfficer3Amount,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Highly Compensated Officer #4 First Name,recipient,award,recipientHighCompOfficer4Name,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Hightly Compensated Officer #4 Total Compensation,recipient,award,recipientHighCompOfficer4Amount,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Highly Compensated Officer #5 First Name,recipient,award,recipientHighCompOfficer5Name,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Hightly Compensated Officer #5 Total Compensation,recipient,award,recipientHighCompOfficer5Amount,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Business Type,award,award,awardBusinessType,,,,,"AKA ""recipient type""",http://fedspendingtransparency.github.io/whitepapers/business-type/
North American Industry Classification System (NAICS) Code,award,award,awardNaicsCode,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
North American Industry Classification System (NAICS) Description,award,award,awardNaicsDesc,,,,,,https://max.gov/maxportal/assets/public/offm/DataStandardsFinal.htm
Catalog of Federal Domestic Assistance (CFDA) Number,award,award,awardCfdaCode,,,,,,http://fedspendingtransparency.github.io/whitepapers/cfdaprogramnumber-title/
Catalog of Federal Domestic Assistance (CFDA) Title,award,award,awardCfdaDesc,,,,,,http://fedspendingtransparency.github.io/whitepapers/cfdaprogramnumber-title/
Period of Performance Start Date,award,award,awardPeriodPerfStartDate,,,,,,http://fedspendingtransparency.github.io/whitepapers/period-of-performance/
Period of Performance Current End Date,award,award,awardPeriodPerfCurrentEndDate,,,,,,http://fedspendingtransparency.github.io/whitepapers/period-of-performance/
Period of Performance Potential End Date,award,award,awardPeriodPerfPotentialEndDate,,,,,,http://fedspendingtransparency.github.io/whitepapers/period-of-performance/
Ordering Period End Date,award,award,awardOrderingPeriodEndDate,,,,,,http://fedspendingtransparency.github.io/whitepapers/period-of-performance/
Primary Place of Performance City,award,award,awardPopCityName,,,,,,http://fedspendingtransparency.github.io/whitepapers/place-of-performance/
Primary Place of Performance State,award,award,awardPopStateName,,,,,,http://fedspendingtransparency.github.io/whitepapers/place-of-performance/
Primary Place of Performance Zip Code + 4,award,award,awardPopZipPlusFour,,,,,,http://fedspendingtransparency.github.io/whitepapers/place-of-performance/
Primary Place of Performance Congressional District,award,award,awardPopCongressionalDistrict,,,,,,http://fedspendingtransparency.github.io/whitepapers/place-of-performance/
Primary Place of Performance Country Code,award,award,awardPopCountryCode,,,,,,http://fedspendingtransparency.github.io/whitepapers/place-of-performance/
Primary Place of Performance Country Name,award,award,awardPopCountryName,,,,,,http://fedspendingtransparency.github.io/whitepapers/place-of-performance/
